geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Illinois,Jimmy Johns,73,2755,37,1
Illinois,Subway,69,37540,35,2
Illinois,Jersey Mikes,16,1973,8,3
Illinois,Quiznos,14,500,7,4
Illinois,Firehouse Subs,12,1200,6,5
Illinois,Which Wich,3,431,1,6
Illinois,Potbelly Sandwich,3,474,1,6
Illinois,Jason's Deli,3,300,1,6
Illinois,Blimpie,1,156,0,9
Illinois,Schlotzsky's,0,330,0,9
Indiana,Subway,74,37540,38,1
Indiana,Jimmy Johns,74,2755,38,1
Indiana,Firehouse Subs,16,1200,8,3
Indiana,Quiznos,11,500,5,4
Indiana,Jersey Mikes,7,1973,3,5
Indiana,Which Wich,7,431,3,5
Indiana,Blimpie,1,156,0,7
Indiana,Schlotzsky's,0,330,0,7
Indiana,Potbelly Sandwich,1,474,0,7
Indiana,Jason's Deli,1,300,0,7
Iowa,Jimmy Johns,83,2755,36,1
Iowa,Subway,77,37540,33,2
Iowa,Quiznos,26,500,11,3
Iowa,Firehouse Subs,20,1200,8,4
Iowa,Jersey Mikes,9,1973,3,5
Iowa,Blimpie,5,156,2,6
Iowa,Which Wich,6,431,2,6
Iowa,Jason's Deli,3,300,1,8
Iowa,Schlotzsky's,0,330,0,9
Iowa,Potbelly Sandwich,1,474,0,9
Kansas,Subway,75,37540,33,1
Kansas,Jimmy Johns,74,2755,33,1
Kansas,Quiznos,24,500,10,3
Kansas,Firehouse Subs,21,1200,9,4
Kansas,Jason's Deli,10,300,4,5
Kansas,Jersey Mikes,8,1973,3,6
Kansas,Which Wich,5,431,2,7
Kansas,Blimpie,1,156,0,8
Kansas,Schlotzsky's,2,330,0,8
Kansas,Potbelly Sandwich,2,474,0,8
Kentucky,Subway,72,37540,37,1
Kentucky,Jimmy Johns,68,2755,35,2
Kentucky,Firehouse Subs,21,1200,11,3
Kentucky,Jersey Mikes,10,1973,5,4
Kentucky,Quiznos,9,500,4,5
Kentucky,Which Wich,4,431,2,6
